filename,transcription,word
child-horsey1,surprise horsie,horsey
child-horsey2,ride a horsie,horsey
child-horsey3,hi horsie,horsey
child-horsey4,bring the horsies out,horsey
child-horsey5,i'm a duplo horsie,horsey
child-horsey6,horsie,horsey
child-horsey7,horsie,horsey
child-horsey8,and i can have the horsies,horsey
child-horsey9,horsie,horsey
child-horsey10,no it's not a horsie shirt,horsey
child-horsey11,no not a donkey horsie,horsey
child-horsey12,hi nice horsie,horsey
child-horsey13,bring bring that that little horsie to me,horsey
child-horsey14,yyy sea horsie,horsey
child-horsey15,the horsie was scared because it,horsey
child-horsey16,there's a horsie,horsey
child-horsey17,and a pillow for the horsie and a blanket for the horsie too,horsey
child-horsey18,horsie,horsey
child-horsey19,horsie horsie,horsey
child-horsey20,where that ah another horsie,horsey
child-horsey21,we better get twenty four hundred for horsie,horsey
child-horsey22,put jenny down the horsie put jenny down mommy okay the horsie,horsey
child-horsey23,a horsie,horsey
child-horsey24,there go horsie,horsey
child-horsey25,xxx he wants to get on that and the girl's gonna get on a horsie,horsey
child-horsey26,horse horsie,horsey
child-horsey27,horsie xxx,horsey
child-horsey28,horsie,horsey
child-horsey29,he's a horsie,horsey
child-horsey30,and the mommy horsie has a baby horsie,horsey
child-horsey31,horsie,horsey
child-horsey32,xxx fall the cradle hurt my horsie jenny hurt my horsie,horsey
child-horsey33,what did you see that was scary horsie,horsey
child-horsey34,horsie horsie,horsey
child-horsey35,read the horsie thing,horsey
child-horsey36,no horsie,horsey
child-horsey37,that's a horsie ride,horsey
child-horsey38,here's your horsie and there's my horsie,horsey
child-horsey39,and the horsie stand up,horsey
child-horsey40,look horsie let me see the goldfish,horsey
child-horsey41,you stay there to get some wool for your horsie to sleep on,horsey
