id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id,age,item,form,pair,form_numeric,speaker_type
293623, a white bunny just like our bunny rabbit ,a white bunny just like our bunny rabbit,,,declarative,eng,8,8,74,Valian,det:art adj n adv prep det:poss n n,MOT,NA,Mother,NA,29.066305262941743,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3323,29,rabbit,ADS,bunny_rabbit,1,other
298951, a rabbit ,a rabbit,,,declarative,eng,2,2,530,Valian,det:art n,CHI,NA,Target_Child,NA,21.92036797470174,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3310,22,rabbit,ADS,bunny_rabbit,1,child
298971, is that a rabbit with a big long nose like that ,be that a rabbit with a big long nose like that,,,question,eng,12,11,531,Valian,cop comp det:art n prep det:art adj adj n prep pro:dem,MOT,NA,Mother,NA,21.92036797470174,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3310,22,rabbit,ADS,bunny_rabbit,1,other
299617, is that a bunny rabbit driving that child ,be that a bunny rabbit drive that Child,,,question,eng,10,8,166,Valian,cop comp det:art n n part comp n:prop,MOT,NA,Mother,NA,32.000657097681675,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3324,32,rabbit,ADS,bunny_rabbit,1,other
299656, do bunny rabbits really drive diggers ,do bunny rabbit really drive dig,,,question,eng,10,6,168,Valian,v n n adv n n,MOT,NA,Mother,NA,32.000657097681675,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3324,32,rabbit,ADS,bunny_rabbit,1,other
299871, what about the rabbit ,what about the rabbit,,,question,eng,4,4,551,Valian,pro:int adv det:art n,MOT,NA,Mother,NA,21.65752890203084,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3312,22,rabbit,ADS,bunny_rabbit,1,other
299885, what color is the rabbit ,what color be the rabbit,,,question,eng,6,5,552,Valian,pro:int n cop det:art n,MOT,NA,Mother,NA,21.65752890203084,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3312,22,rabbit,ADS,bunny_rabbit,1,other
299907, the rabbit ,the rabbit,,,declarative,eng,2,2,553,Valian,det:art n,CHI,NA,Target_Child,NA,21.65752890203084,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3312,22,rabbit,ADS,bunny_rabbit,1,child
299924, that's not a rabbit that's a mouse ,that not a rabbit that a mouse,,,declarative,eng,9,7,554,Valian,pro:dem neg det:art n pro:dem det:art n,MOT,NA,Mother,NA,21.65752890203084,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3312,22,rabbit,ADS,bunny_rabbit,1,other
299950, that's rabbit ,that rabbit,,,declarative,eng,3,2,555,Valian,pro:dem n,CHI,NA,Target_Child,NA,21.65752890203084,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3312,22,rabbit,ADS,bunny_rabbit,1,child
299968, that's a rabbit ,that a rabbit,,,declarative,eng,4,3,556,Valian,pro:dem det:art n,MOT,NA,Mother,NA,21.65752890203084,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3312,22,rabbit,ADS,bunny_rabbit,1,other
303674, the face looks like a bunny rabbit ,the face look like a bunny rabbit,,,declarative,eng,8,7,326,Valian,det:art n v conj det:art n n,MOT,NA,Mother,NA,30.78913324708926,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3322,31,rabbit,ADS,bunny_rabbit,1,other
303692, yeah a water rabbit ,yeah a water rabbit,,,declarative,eng,4,4,327,Valian,co det:art n n,CHI,NA,Target_Child,NA,30.78913324708926,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3322,31,rabbit,ADS,bunny_rabbit,1,child
303722, a water rabbit ,a water rabbit,,,declarative,eng,3,3,329,Valian,det:art n n,CHI,NA,Target_Child,NA,30.78913324708926,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3322,31,rabbit,ADS,bunny_rabbit,1,child
303746, a bunny rabbit ,a bunny rabbit,,,declarative,eng,3,3,330,Valian,det:art n n,MOT,NA,Mother,NA,30.78913324708926,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3322,31,rabbit,ADS,bunny_rabbit,1,other
304329, what kind of truck came and got mr rabbit ,what kind of truck come and get Mr Rabbit,,,question,eng,11,9,290,Valian,pro:int n prep n v coord v n:prop n:prop,MOT,NA,Mother,NA,27.26339349883981,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3327,27,rabbit,ADS,bunny_rabbit,1,other
304749, rabbit rabbit rabbit ,rabbit rabbit rabbit,,,imperative_emphatic,eng,3,3,348,Valian,n n n,CHI,NA,Target_Child,NA,26.033388775950225,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3311,26,rabbit,ADS,bunny_rabbit,1,child
304764, a rabbit out there ,a rabbit out there,,,question,eng,4,4,349,Valian,det:art n prep n,MOT,NA,Mother,NA,26.033388775950225,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3311,26,rabbit,ADS,bunny_rabbit,1,other
305000, oh does a crane get mr rabbit ,oh do a crane get Mr Rabbit,,,question,eng,8,7,332,Valian,co v det:art n aux n:prop n:prop,CHI,NA,Target_Child,NA,27.26339349883981,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3327,27,rabbit,ADS,bunny_rabbit,1,child
305379, and that bulldozer is gonna get mr rabbit ,and that bulldoze be go get Mr Rabbit,,,declarative,eng,13,8,350,Valian,coord pro:dem n aux part v n:prop n:prop,CHI,NA,Target_Child,NA,27.26339349883981,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3327,27,rabbit,ADS,bunny_rabbit,1,child
305414, and a bulldozer was in mr rabbit story ,and a bulldoze be in Mr Rabbit story,,,question,eng,12,8,352,Valian,coord det:art n cop prep n:prop n:prop n,CHI,NA,Target_Child,NA,27.26339349883981,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3327,27,rabbit,ADS,bunny_rabbit,1,child
305507, and a crane was in mr rabbit story ,and a crane be in Mr Rabbit story,,,declarative,eng,10,8,356,Valian,coord det:art n cop prep n:prop n:prop n,CHI,NA,Target_Child,NA,27.26339349883981,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3327,27,rabbit,ADS,bunny_rabbit,1,child
305642, remember crane was there next to mr rabbit ,remember crane be there next to Mr Rabbit,,,question,eng,10,8,364,Valian,v n cop adv adv prep n:prop n:prop,CHI,NA,Target_Child,NA,27.26339349883981,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3327,27,rabbit,ADS,bunny_rabbit,1,child
305675, and mr rabbit was standing there ,and Mr Rabbit be stand there,,,declarative,eng,9,6,366,Valian,coord n:prop n:prop aux part adv,CHI,NA,Target_Child,NA,27.26339349883981,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3327,27,rabbit,ADS,bunny_rabbit,1,child
305920, the bunny rabbits are running ,the bunny rabbit be run,,,declarative,eng,8,5,69,Valian,det:art n n aux part,CHI,NA,Target_Child,NA,30.42772952216678,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3329,30,rabbit,ADS,bunny_rabbit,1,child
305967, yeah and mr rabbit was outside ,yeah and Mr Rabbit be outside,,,declarative,eng,8,6,383,Valian,co coord n:prop n:prop cop adv,CHI,NA,Target_Child,NA,27.26339349883981,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3327,27,rabbit,ADS,bunny_rabbit,1,child
306002, yeah and mr rabbit was afraid ,yeah and Mr Rabbit be afraid,,,declarative,eng,8,6,385,Valian,co coord n:prop n:prop cop adj,CHI,NA,Target_Child,NA,27.26339349883981,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3327,27,rabbit,ADS,bunny_rabbit,1,child
315321, you're a bunny rabbit ,you a bunny rabbit,,,declarative,eng,5,4,206,Valian,pro:per det:art n n,INV,NA,Investigator,NA,29.32914433561264,female,NA,NA,NA,Eng-NA,2,33,1706,1704,3337,29,rabbit,ADS,bunny_rabbit,1,other
316453, xxx bunny rabbit ,bunny rabbit,,,declarative,eng,2,3,274,Valian,n n,CHI,NA,Target_Child,NA,29.16486991519333,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3336,29,rabbit,ADS,bunny_rabbit,1,child
316721, where where's the other bunny rabbit ,where where the other bunny rabbit,,,question,eng,7,6,292,Valian,pro:int pro:int det:art qn n n,CHI,NA,Target_Child,NA,29.16486991519333,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3336,29,rabbit,ADS,bunny_rabbit,1,child
316742, i haven't found the other bunny rabbit yet ,I have find the other bunny rabbit yet,,,declarative,eng,10,8,294,Valian,pro:sub aux part det:art qn n n adv,MOT,NA,Mother,NA,29.16486991519333,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3336,29,rabbit,ADS,bunny_rabbit,1,other
316859, peter rabbit ,Peter Rabbit,,,declarative,eng,2,2,994,Valian,n:prop n:prop,CHI,NA,Target_Child,NA,27.55908745559457,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3328,28,rabbit,ADS,bunny_rabbit,1,child
316881, peter rabbit's ,Peter Rabbit,,,declarative,eng,4,2,996,Valian,n:prop adj,CHI,NA,Target_Child,NA,27.55908745559457,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3328,28,rabbit,ADS,bunny_rabbit,1,child
316882, and you pour some in my special bunny rabbit cup ,and you pour some in my special bunny rabbit cup,,,declarative,eng,10,10,596,Valian,coord pro:per v pro:indef prep det:poss adj n n n,CHI,NA,Target_Child,NA,28.263414033142364,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3332,28,rabbit,ADS,bunny_rabbit,1,child
316894, where's peter rabbit ,where Peter Rabbit,,,question,eng,4,3,997,Valian,pro:int n:prop n:prop,MOT,NA,Mother,NA,27.55908745559457,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3328,28,rabbit,ADS,bunny_rabbit,1,other
316896, okay i'll put it in your bunny rabbit cup ,okay I put it in your bunny rabbit cup,,,declarative,eng,11,9,597,Valian,co pro:sub v pro:per prep det:poss n n n,MOT,NA,Mother,NA,28.263414033142364,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3332,28,rabbit,ADS,bunny_rabbit,1,other
316915, i found peter rabbit ,I found Peter Rabbit,,,declarative,eng,4,4,999,Valian,pro:sub v n:prop n:prop,CHI,NA,Target_Child,NA,27.55908745559457,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3328,28,rabbit,ADS,bunny_rabbit,1,child
317436, child i found your rabbit ,Child I find your rabbit,,,declarative,eng,6,5,348,Valian,n:prop pro:sub v det:poss n,MOT,NA,Mother,NA,29.16486991519333,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3336,29,rabbit,ADS,bunny_rabbit,1,other
317447, you found my rabbit ,you found my rabbit,,,question,eng,4,4,349,Valian,pro:per v det:poss n,CHI,NA,Target_Child,NA,29.16486991519333,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3336,29,rabbit,ADS,bunny_rabbit,1,child
317634, the mama rabbit ,the mama rabbit,,,question,eng,3,3,364,Valian,det:art n n,MOT,NA,Mother,NA,29.16486991519333,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3336,29,rabbit,ADS,bunny_rabbit,1,other
318355, i gonna put this xxx peter rabbit xxx ,I go put this Peter Rabbit,,,declarative,eng,9,8,1107,Valian,pro:sub part v pro:dem n:prop n:prop,CHI,NA,Target_Child,NA,27.55908745559457,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3328,28,rabbit,ADS,bunny_rabbit,1,child
318913, this is peter rabbit ,this be Peter Rabbit,,,declarative,eng,5,4,1151,Valian,pro:dem cop n:prop n:prop,MOT,NA,Mother,NA,27.55908745559457,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3328,28,rabbit,ADS,bunny_rabbit,1,other
319406, you're a little rabbit ,you a little rabbit,,,declarative,eng,5,4,604,Valian,pro:per det:art adj n,INV,NA,Investigator,NA,30.821988131173125,female,NA,NA,NA,Eng-NA,2,33,1706,1704,3331,31,rabbit,ADS,bunny_rabbit,1,other
319418, yeah but could you please read the rabbits ,yeah but could you please read the rabbit,,,question,eng,10,8,605,Valian,co conj mod pro:per co v det:art n,CHI,NA,Target_Child,NA,30.821988131173125,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3331,31,rabbit,ADS,bunny_rabbit,1,child
319433, please read the rabbits ,please read the rabbit,,,question,eng,6,4,606,Valian,co v det:art n,CHI,NA,Target_Child,NA,30.821988131173125,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3331,31,rabbit,ADS,bunny_rabbit,1,child
321239, plums mouse corn and rabbit and and that ,plum mouse corn and rabbit and and that,,,declarative,eng,9,8,644,Valian,n n n coord n coord coord pro:dem,CHI,NA,Target_Child,NA,29.32914433561264,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3337,29,rabbit,ADS,bunny_rabbit,1,child
322951, you look like a little pink rabbit ,you look like a little pink rabbit,,,declarative,eng,7,7,309,Valian,pro:per v conj det:art adj adj n,INV,NA,Investigator,NA,29.591983408283536,female,NA,NA,NA,Eng-NA,2,33,1706,1704,3338,30,rabbit,ADS,bunny_rabbit,1,other
