,id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id,age,item,form,pair,form_numeric,speaker_type,parsed_gloss
0,292421, do you know where all the dolls are ,do you know where all the doll be,,,question,eng,10.0,8,10,Valian,mod pro:per v pro:int qn det:art n cop,MOT,,Mother,,25.690465923324915,female,,,,Eng-NA,2,33,1705,1704,3316,26,doll,ADS,dolly_doll,1,other,(SQ (VBP do) (NP (PRP you)) (VP (VB know) (SBAR (WHADVP (WRB where)) (S (NP (PDT all) (DT the) (NN doll)) (VP (VB be))))))
1,293240, there were dolls and there were puzzles and books and all kinds of good things for boys and girls to eat ,there be doll and there be puzzle and book and all kind of good thing for boy and girl to eat,,,declarative,eng,30.0,21,192,Valian,pro:exist cop n coord adv cop n coord n coord qn n prep adj n prep n coord n inf v,MOT,,Mother,,21.65752890203084,female,,,,Eng-NA,2,33,1705,1704,3312,22,doll,ADS,dolly_doll,1,other,(S (S (NP (EX there)) (VP (VBP be) (NP (NN doll)))) (CC and) (S (NP (EX there)) (VP (VBP be) (NP (NP (NN puzzle) (CC and) (NN book)) (CC and) (NP (NP (DT all) (NN kind) (PP (IN of) (JJ good)) (NN thing)) (SBAR (IN for) (S (NP (NN boy) (CC and) (NN girl)) (VP (TO to) (VP (VB eat))))))))))
2,293464, it's not a pie it's a doll ,it not a pie it a doll,,,declarative,eng,9.0,7,214,Valian,pro:per neg det:art n pro:per det:art n,MOT,,Mother,,21.92036797470174,female,,,,Eng-NA,2,33,1705,1704,3310,22,doll,ADS,dolly_doll,1,other,(S (NP (PRP it)) (RB not) (NP (DT a) (NN pie)) (NP (PRP it)) (NP (DT a) (NN doll)))
3,293467, and then the little train and all the dolls and toys were so sad ,and then the little train and all the doll and toy be so sad,,,declarative,eng,17.0,14,208,Valian,coord adv:tem det:art adj n coord qn det:art n coord n cop adv adj,MOT,,Mother,,21.65752890203084,female,,,,Eng-NA,2,33,1705,1704,3312,22,doll,ADS,dolly_doll,1,other,(S (CC and) (ADVP (RB then)) (NP (NP (DT the) (JJ little) (NN train)) (CC and) (NP (PDT all) (DT the) (NN doll) (CC and) (NN toy))) (VP (VBP be) (ADJP (RB so) (JJ sad))))
4,293477, doll ,doll,,,declarative,eng,1.0,1,215,Valian,n,CHI,,Target_Child,,21.92036797470174,female,,,,Eng-NA,2,33,1704,1704,3310,22,doll,ADS,dolly_doll,1,child,(NP (NN doll))
5,293489, a doll ,a doll,,,declarative,eng,2.0,2,216,Valian,det:art n,MOT,,Mother,,21.92036797470174,female,,,,Eng-NA,2,33,1705,1704,3310,22,doll,ADS,dolly_doll,1,other,(NP (DT a) (NN doll))
6,293725, then the little train and the dolls and toys were ready to cry but the clown said here comes another little engine and they said ,then the little train and the doll and toy be ready to cry but the clown say here come another little engine and they say,,,quotation next line,eng,31.0,25,224,Valian,adv:tem det:art adj n coord det:art n coord v aux adj inf v conj det:art n v adv v qn adj n coord pro:sub v,MOT,,Mother,,21.65752890203084,female,,,,Eng-NA,2,33,1705,1704,3312,22,doll,ADS,dolly_doll,1,other,(S (ADVP (RB then)) (S (NP (NP (DT the) (JJ little) (NN train)) (CC and) (NP (DT the) (NN doll) (CC and) (NN toy))) (VP (VBP be) (ADJP (JJ ready) (S (VP (TO to) (VP (VB cry))))))) (CC but) (S (NP (DT the) (NN clown)) (VP (VBP say) (ADVP (RB here)) (VP (VB come)) (NP (DT another) (JJ little) (NN engine)))) (CC and) (S (NP (PRP they)) (VP (VBP say))))
7,294214, one day while child was in here having a tea party with you know her dolls ,one day while Child be in here have a tea party with you know her doll,,,declarative,eng,20.0,16,159,Valian,det:num n conj n:prop aux prep n part det:art n n prep pro:per v det:poss n,MOT,,Mother,,27.493377687426847,female,,,,Eng-NA,2,33,1705,1704,3317,27,doll,ADS,dolly_doll,1,other,(S (NP (CD one) (NN day)) (SBAR (IN while) (S (NP (NNP Child)) (VP (VB be) (PP (IN in) (ADVP (RB here)))))) (VP (VBP have) (NP (DT a) (NN tea) (NN party)) (PP (PP (IN with) (NP (PRP you))) (VP (VBP know) (NP (PRP$ her) (NN doll))))))
8,298265, what else can you show the doll ,what else can you show the doll,,,question,eng,7.0,7,611,Valian,pro:int post mod pro:per v det:art n,MOT,,Mother,,21.690383786114705,female,,,,Eng-NA,2,33,1705,1704,3307,22,doll,ADS,dolly_doll,1,other,(SBARQ (WHNP (WP what) (RB else)) (SQ (MD can) (NP (PRP you)) (VP (VB show) (NP (DT the) (NN doll)))))
9,298395, look at the doll ,look at the doll,,,declarative,eng,4.0,4,177,Valian,v prep det:art n,CHI,,Target_Child,,29.230579683361054,female,,,,Eng-NA,2,33,1704,1704,3326,29,doll,ADS,dolly_doll,1,child,(S (VP (VB look) (PP (IN at) (NP (DT the) (NN doll)))))
